                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4276,                 2.4916,                 1.6987,                0.69358,                0.43118,                 0.5337,                0.30024,                 1.4572,                 2.4309,                 2.0112,             0.00047208,             0.00047208,             0.00047208
                      1,                 1.4934,                 1.9958,                 1.7092,                0.63786,                0.50483,                 0.5729,                 0.2932,                 1.5036,                 2.3693,                 2.1491,             0.00085452,             0.00085452,             0.00085452
                      2,                 1.5112,                 1.9953,                 1.7251,                0.45146,                0.47295,                0.45127,                0.25202,                 1.6599,                 2.8264,                  2.233,              0.0011426,              0.0011426,              0.0011426
                      3,                  1.513,                 2.0178,                 1.7329,                0.59295,                0.63542,                0.59774,                0.30687,                 1.7012,                 2.0012,                 2.2848,              0.0010046,              0.0010046,              0.0010046
                      4,                 1.4443,                  1.794,                 1.6927,                0.73073,                0.59042,                0.68599,                0.39256,                 1.4082,                 1.7826,                 1.9679,              0.0010046,              0.0010046,              0.0010046
                      5,                 1.4073,                 1.7418,                 1.6832,                0.79122,                0.64901,                0.74023,                0.43117,                 1.4498,                 1.6171,                 2.0557,             0.00086312,             0.00086312,             0.00086312
                      6,                 1.3886,                 1.6071,                 1.6185,                0.64157,                0.65805,                0.64982,                 0.3656,                 1.4946,                 1.8852,                  1.997,             0.00072164,             0.00072164,             0.00072164
                      7,                 1.3848,                 1.5138,                 1.6127,                0.73525,                0.72107,                0.79504,                 0.4788,                 1.3598,                 1.4507,                 1.9314,             0.00058017,             0.00058017,             0.00058017
                      8,                 1.3018,                 1.4366,                 1.5878,                0.77767,                0.74735,                0.81152,                0.47032,                 1.3935,                 1.4386,                 1.9638,              0.0004387,              0.0004387,              0.0004387
                      9,                 1.3184,                 1.3598,                 1.5606,                 0.8605,                0.69414,                0.82905,                0.48916,                 1.3944,                  1.445,                 1.9321,             0.00029723,             0.00029723,             0.00029723
